id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,fetched_at,snapshot_date
bitcoin,btc,Bitcoin,76955.0,1542410420584,1,23455486496,77216.0,76053.0,0.23608,2026-05-25T01:58:58.488Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
ethereum,eth,Ethereum,2096.45,253198707147,2,9936756506,2125.7,2067.46,-1.08687,2026-05-25T01:58:58.738Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
tether,usdt,Tether,0.998763,189398511050,3,39266188335,0.998831,0.998659,0.00631,2026-05-25T01:58:58.683Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
binancecoin,bnb,BNB,656.14,88465117980,4,604968861,661.06,649.4,-0.03232,2026-05-25T01:58:58.350Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
ripple,xrp,XRP,1.35,83428029887,5,1147113776,1.37,1.34,-0.76296,2026-05-25T01:59:01.007Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
usd-coin,usdc,USDC,0.999699,76397183967,6,8464842614,0.999905,0.999634,-0.00622,2026-05-25T01:58:58.844Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
solana,sol,Solana,85.01,49158432050,7,2350835468,86.66,83.91,-1.08664,2026-05-25T01:58:58.416Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
tron,trx,TRON,0.364976,34601612302,8,452605033,0.367427,0.361884,0.78254,2026-05-25T01:58:52.406Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
figure-heloc,figr_heloc,Figure Heloc,1.03,18622163653,9,106080,1.03,1.03,0.0,2026-05-24T03:06:45.343Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
dogecoin,doge,Dogecoin,0.101913,15735767028,10,536130447,0.103455,0.100664,-1.20893,2026-05-25T01:58:44.482Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
hyperliquid,hype,Hyperliquid,61.54,14675439803,11,1187706465,64.21,59.73,2.14687,2026-05-25T01:58:44.671Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
usds,usds,USDS,0.999754,11142616383,12,10029894,0.999919,0.999268,0.00347,2026-05-25T01:58:44.211Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
zcash,zec,Zcash,654.27,10927780714,13,715758680,679.77,625.1,2.8064,2026-05-25T01:58:44.441Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
leo-token,leo,LEO Token,10.05,9253966554,14,453955,10.1,10.03,-0.28552,2026-05-25T01:58:46.517Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
cardano,ada,Cardano,0.241393,8937128207,15,253129210,0.246273,0.2389,-1.98148,2026-05-25T01:58:46.791Z,2026-05-25T01:59:45.212671+00:00,2026-05-25
