id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,fetched_at,snapshot_date,daily_price_change_pct,daily_market_cap_change_pct,trend_label
bitcoin,btc,Bitcoin,65478.0,1311635492366.0,1,23061893443.0,65744.0,63663.0,1.38376,2026-06-15 02:05:21.923,2026-06-15 02:05:26.394054,2026-06-15,1.45,1.38,Bullish
ethereum,eth,Ethereum,1715.25,206922111980.0,2,8861336461.0,1727.3,1654.74,1.84861,2026-06-15 02:05:26.116,2026-06-15 02:05:26.394054,2026-06-15,1.94,1.86,Bullish
tether,usdt,Tether,0.999504,186461556548.0,3,39052812130.0,0.999617,0.999298,-0.00796,2026-06-15 02:05:23.137,2026-06-15 02:05:26.394054,2026-06-15,-0.01,-0.02,Sideways
binancecoin,bnb,BNB,613.31,82598733408.0,4,760212599.0,616.91,602.69,0.55604,2026-06-15 02:05:26.151,2026-06-15 02:05:26.394054,2026-06-15,0.71,0.62,Sideways
usd-coin,usdc,USDC,0.999732,74779059111.0,5,7337454128.0,1.0,0.999626,-0.01295,2026-06-15 02:05:24.864,2026-06-15 02:05:26.394054,2026-06-15,-0.01,-0.04,Sideways
ripple,xrp,XRP,1.18,73341350540.0,6,1359857960.0,1.19,1.13,2.68506,2026-06-15 02:05:26.106,2026-06-15 02:05:26.394054,2026-06-15,2.61,2.62,Bullish
solana,sol,Solana,71.04,41157420237.0,7,1902628503.0,71.5,66.99,3.30791,2026-06-15 02:05:26.049,2026-06-15 02:05:26.394054,2026-06-15,3.36,3.27,Bullish
tron,trx,TRON,0.32011,30357745084.0,8,522703843.0,0.321449,0.315432,1.41088,2026-06-15 02:05:21.377,2026-06-15 02:05:26.394054,2026-06-15,1.46,1.42,Bullish
figure-heloc,figr_heloc,Figure Heloc,1.018,19159318509.0,9,95054.0,1.018,1.018,0.0,2026-06-14 04:53:25.994,2026-06-15 02:05:26.394054,2026-06-15,0.0,-0.02,Sideways
hyperliquid,hype,Hyperliquid,63.53,14149899762.0,10,690389536.0,64.1,59.74,4.85475,2026-06-15 02:05:23.922,2026-06-15 02:05:26.394054,2026-06-15,4.85,4.95,Bullish
dogecoin,doge,Dogecoin,0.088444,13673973153.0,11,646841353.0,0.088895,0.085743,0.69773,2026-06-15 02:05:23.705,2026-06-15 02:05:26.394054,2026-06-15,0.77,0.66,Sideways
usds,usds,USDS,0.999713,10570916628.0,12,29053912.0,0.999797,0.999612,-0.00386,2026-06-15 02:05:23.417,2026-06-15 02:05:26.394054,2026-06-15,-0.01,0.1,Sideways
leo-token,leo,LEO Token,9.79,9015255487.0,13,765561.0,9.85,9.67,0.85143,2026-06-15 02:05:25.672,2026-06-15 02:05:26.394054,2026-06-15,0.72,0.81,Sideways
rain,rain,Rain,0.01307939,8144540336.0,14,50767115.0,0.0131358,0.01277754,0.62703,2026-06-15 02:05:25.174,2026-06-15 02:05:26.394054,2026-06-15,0.62,0.6,Sideways
zcash,zec,Zcash,469.53,7859170020.0,15,455772351.0,474.12,416.84,11.51011,2026-06-15 02:05:23.660,2026-06-15 02:05:26.394054,2026-06-15,11.52,11.05,Bullish
